Phase théorique; Phase mesurée; Erreur; 
0,1;0,0;0,1;
0,2;0,0;0,2;
0,3;0,0;0,3;
0,4;0,0;0,4;
0,5;-0,87890625;0,37890625;
0,6;-0,87890625;0,27890625;
0,7;-0,87890625;0,17890625;
0,8;-0,87890625;0,07890625;
0,9;-0,87890625;0,02109375;
1,0;-0,87890625;0,12109375;
1,1;-0,87890625;0,22109375;
1,2;-0,87890625;0,32109375;
1,3;-0,87890625;0,42109375;
1,4;-0,87890625;0,52109375;
1,5;-1,7578125;0,2578125;
1,6;-1,7578125;0,1578125;
1,7;-1,7578125;0,0578125;
1,8;-1,7578125;0,0421875;
1,9;-1,7578125;0,1421875;
2,0;-1,7578125;0,2421875;
2,1;-1,7578125;0,3421875;
2,2;-2,63671875;0,43671875;
2,3;-2,63671875;0,33671875;
2,4;-2,63671875;0,23671875;
2,5;-2,63671875;0,13671875;
2,6;-2,63671875;0,03671875;
2,7;-2,63671875;0,06328125;
2,8;-2,63671875;0,16328125;
2,9;-2,63671875;0,26328125;
3,0;-2,63671875;0,36328125;
3,1;-2,63671875;0,46328125;
3,2;-3,515625;0,315625;
3,3;-3,515625;0,215625;
3,4;-3,515625;0,115625;
3,5;-3,515625;0,015625;
3,6;-3,515625;0,084375;
3,7;-3,515625;0,184375;
3,8;-3,515625;0,284375;
3,9;-3,515625;0,384375;
4,0;-4,39453125;0,39453125;
4,1;-4,39453125;0,29453125;
4,2;-4,39453125;0,19453125;
4,3;-4,39453125;0,09453125;
4,4;-4,39453125;0,00546875;
4,5;-4,39453125;0,10546875;
4,6;-4,39453125;0,20546875;
4,7;-4,39453125;0,30546875;
4,8;-5,2734375;0,4734375;
4,9;-5,2734375;0,3734375;
5,0;-5,2734375;0,2734375;
5,1;-5,2734375;0,1734375;
5,2;-5,2734375;0,0734375;
5,3;-5,2734375;0,0265625;
5,4;-5,2734375;0,1265625;
5,5;-5,2734375;0,2265625;
5,6;-5,2734375;0,3265625;
5,7;-6,15234375;0,45234375;
5,8;-6,15234375;0,35234375;
5,9;-6,15234375;0,25234375;
6,0;-6,15234375;0,15234375;
6,1;-6,15234375;0,05234375;
6,2;-6,15234375;0,04765625;
6,3;-6,15234375;0,14765625;
6,4;-6,15234375;0,24765625;
6,5;-6,15234375;0,34765625;
6,6;-7,03125;0,43125;
6,7;-7,03125;0,33125;
6,8;-7,03125;0,23125;
6,9;-7,03125;0,13125;
7,0;-7,03125;0,03125;
7,1;-7,03125;0,06875;
7,2;-7,03125;0,16875;
7,3;-7,03125;0,26875;
7,4;-7,91015625;0,51015625;
7,5;-7,91015625;0,41015625;
7,6;-7,91015625;0,31015625;
7,7;-7,91015625;0,21015625;
7,8;-7,91015625;0,11015625;
7,9;-7,91015625;0,01015625;
8,0;-7,91015625;0,08984375;
8,1;-7,91015625;0,18984375;
8,2;-7,91015625;0,28984375;
8,3;-8,7890625;0,4890625;
8,4;-8,7890625;0,3890625;
8,5;-8,7890625;0,2890625;
8,6;-8,7890625;0,1890625;
8,7;-8,7890625;0,0890625;
8,8;-8,7890625;0,0109375;
8,9;-8,7890625;0,1109375;
9,0;-8,7890625;0,2109375;
9,1;-8,7890625;0,3109375;
9,2;-8,7890625;0,4109375;
9,3;-9,66796875;0,36796875;
9,4;-9,66796875;0,26796875;
9,5;-9,66796875;0,16796875;
9,6;-9,66796875;0,06796875;
9,7;-9,66796875;0,03203125;
9,8;-9,66796875;0,13203125;
9,9;-9,66796875;0,23203125;
10,0;-9,66796875;0,33203125;
10,1;-10,546875;0,446875;
10,2;-10,546875;0,346875;
10,3;-10,546875;0,246875;
10,4;-10,546875;0,146875;
10,5;-10,546875;0,046875;
10,6;-10,546875;0,053125;
10,7;-10,546875;0,153125;
10,8;-10,546875;0,253125;
10,9;-10,546875;0,353125;
11,0;-11,42578125;0,42578125;
11,1;-11,42578125;0,32578125;
11,2;-11,42578125;0,22578125;
11,3;-11,42578125;0,12578125;
11,4;-11,42578125;0,02578125;
11,5;-11,42578125;0,07421875;
11,6;-11,42578125;0,17421875;
11,7;-11,42578125;0,27421875;
11,8;-11,42578125;0,37421875;
11,9;-12,3046875;0,4046875;
12,0;-12,3046875;0,3046875;
12,1;-12,3046875;0,2046875;
12,2;-12,3046875;0,1046875;
12,3;-12,3046875;0,0046875;
12,4;-12,3046875;0,0953125;
12,5;-12,3046875;0,1953125;
12,6;-12,3046875;0,2953125;
12,7;-12,3046875;0,3953125;
12,8;-13,18359375;0,38359375;
12,9;-13,18359375;0,28359375;
13,0;-13,18359375;0,18359375;
13,1;-13,18359375;0,08359375;
13,2;-13,18359375;0,01640625;
13,3;-13,18359375;0,11640625;
13,4;-13,18359375;0,21640625;
13,5;-13,18359375;0,31640625;
13,6;-14,0625;0,4625;
13,7;-14,0625;0,3625;
13,8;-14,0625;0,2625;
13,9;-14,0625;0,1625;
14,0;-14,0625;0,0625;
14,1;-14,0625;0,0375;
14,2;-14,0625;0,1375;
14,3;-14,0625;0,2375;
14,4;-14,0625;0,3375;
14,5;-14,0625;0,4375;
14,6;-14,94140625;0,34140625;
14,7;-14,94140625;0,24140625;
14,8;-14,94140625;0,14140625;
14,9;-14,94140625;0,04140625;
15,0;-14,94140625;0,05859375;
15,1;-14,94140625;0,15859375;
15,2;-14,94140625;0,25859375;
15,3;-14,94140625;0,35859375;
15,4;-15,8203125;0,4203125;
15,5;-15,8203125;0,3203125;
15,6;-15,8203125;0,2203125;
15,7;-15,8203125;0,1203125;
15,8;-15,8203125;0,0203125;
15,9;-15,8203125;0,0796875;
16,0;-15,8203125;0,1796875;
16,1;-15,8203125;0,2796875;
16,2;-15,8203125;0,3796875;
16,3;-16,69921875;0,39921875;
16,4;-16,69921875;0,29921875;
16,5;-16,69921875;0,19921875;
16,6;-16,69921875;0,09921875;
16,7;-16,69921875;0,000781250000003;
16,8;-16,69921875;0,10078125;
16,9;-16,69921875;0,20078125;
17,0;-16,69921875;0,30078125;
17,1;-17,578125;0,478125;
17,2;-17,578125;0,378125;
17,3;-17,578125;0,278125;
17,4;-17,578125;0,178125;
17,5;-17,578125;0,078125;
17,6;-17,578125;0,021875;
17,7;-17,578125;0,121875;
17,8;-17,578125;0,221875;
17,9;-17,578125;0,321875;
18,0;-17,578125;0,421875;
18,1;-18,45703125;0,35703125;
18,2;-18,45703125;0,25703125;
18,3;-18,45703125;0,15703125;
18,4;-18,45703125;0,05703125;
18,5;-18,45703125;0,04296875;
18,6;-18,45703125;0,14296875;
18,7;-18,45703125;0,24296875;
18,8;-18,45703125;0,34296875;
18,9;-18,45703125;0,44296875;
19,0;-19,3359375;0,3359375;
19,1;-19,3359375;0,2359375;
19,2;-19,3359375;0,1359375;
19,3;-19,3359375;0,0359375;
19,4;-19,3359375;0,0640625;
19,5;-19,3359375;0,1640625;
19,6;-19,3359375;0,2640625;
19,7;-19,3359375;0,3640625;
19,8;-19,3359375;0,4640625;
19,9;-19,3359375;0,5640625;
20,0;-20,21484375;0,21484375;
20,1;-20,21484375;0,11484375;
20,2;-20,21484375;0,01484375;
20,3;-20,21484375;0,08515625;
20,4;-20,21484375;0,18515625;
20,5;-20,21484375;0,28515625;
20,6;-20,21484375;0,38515625;
20,7;-21,09375;0,39375;
20,8;-21,09375;0,29375;
20,9;-21,09375;0,19375;
21,0;-21,09375;0,09375;
21,1;-21,09375;0,00625;
21,2;-21,09375;0,10625;
21,3;-21,09375;0,20625;
21,4;-21,09375;0,30625;
21,5;-21,97265625;0,47265625;
21,6;-21,97265625;0,37265625;
21,7;-21,97265625;0,27265625;
21,8;-21,97265625;0,17265625;
21,9;-21,97265625;0,07265625;
22,0;-21,97265625;0,02734375;
22,1;-21,97265625;0,12734375;
22,2;-21,97265625;0,22734375;
22,3;-21,97265625;0,32734375;
22,4;-22,8515625;0,4515625;
22,5;-22,8515625;0,3515625;
22,6;-22,8515625;0,2515625;
22,7;-22,8515625;0,1515625;
22,8;-22,8515625;0,0515625;
22,9;-22,8515625;0,0484375;
23,0;-22,8515625;0,1484375;
23,1;-22,8515625;0,2484375;
23,2;-22,8515625;0,3484375;
23,3;-22,8515625;0,4484375;
23,4;-23,73046875;0,33046875;
23,5;-23,73046875;0,23046875;
23,6;-23,73046875;0,13046875;
23,7;-23,73046875;0,03046875;
23,8;-23,73046875;0,06953125;
23,9;-23,73046875;0,16953125;
24,0;-23,73046875;0,26953125;
24,1;-23,73046875;0,36953125;
24,2;-23,73046875;0,46953125;
24,3;-24,609375;0,309375;
24,4;-24,609375;0,209375;
24,5;-24,609375;0,109375;
24,6;-24,609375;0,009375;
24,7;-24,609375;0,090625;
24,8;-24,609375;0,190625;
24,9;-24,609375;0,290625;
25,0;-24,609375;0,390625;
25,1;-24,609375;0,490625;
25,2;-25,48828125;0,28828125;
25,3;-25,48828125;0,18828125;
25,4;-25,48828125;0,08828125;
25,5;-25,48828125;0,01171875;
25,6;-25,48828125;0,11171875;
25,7;-25,48828125;0,21171875;
25,8;-25,48828125;0,31171875;
25,9;-25,48828125;0,41171875;
26,0;-26,3671875;0,3671875;
26,1;-26,3671875;0,2671875;
26,2;-26,3671875;0,1671875;
26,3;-26,3671875;0,0671875;
26,4;-26,3671875;0,0328125;
26,5;-26,3671875;0,1328125;
26,6;-26,3671875;0,2328125;
26,7;-26,3671875;0,3328125;
26,8;-26,3671875;0,4328125;
26,9;-26,3671875;0,5328125;
27,0;-27,24609375;0,24609375;
27,1;-27,24609375;0,14609375;
27,2;-27,24609375;0,04609375;
27,3;-27,24609375;0,05390625;
27,4;-27,24609375;0,15390625;
27,5;-27,24609375;0,25390625;
27,6;-27,24609375;0,35390625;
27,7;-27,24609375;0,45390625;
27,8;-28,125;0,325;
27,9;-28,125;0,225;
28,0;-28,125;0,125;
28,1;-28,125;0,025;
28,2;-28,125;0,075;
28,3;-28,125;0,175;
28,4;-28,125;0,275;
28,5;-28,125;0,375;
28,6;-28,125;0,475;
28,7;-29,00390625;0,30390625;
28,8;-29,00390625;0,20390625;
28,9;-29,00390625;0,10390625;
29,0;-29,00390625;0,00390625;
29,1;-29,00390625;0,09609375;
29,2;-29,00390625;0,19609375;
29,3;-29,00390625;0,29609375;
29,4;-29,00390625;0,39609375;
29,5;-29,8828125;0,3828125;
29,6;-29,8828125;0,2828125;
29,7;-29,8828125;0,1828125;
29,8;-29,8828125;0,0828125;
29,9;-29,8828125;0,0171875;
30,0;-29,8828125;0,1171875;
30,1;-29,8828125;0,2171875;
30,2;-29,8828125;0,3171875;
30,3;-29,8828125;0,4171875;
30,4;-30,76171875;0,36171875;
30,5;-30,76171875;0,26171875;
30,6;-30,76171875;0,16171875;
30,7;-30,76171875;0,06171875;
30,8;-30,76171875;0,03828125;
30,9;-30,76171875;0,13828125;
31,0;-30,76171875;0,23828125;
31,1;-30,76171875;0,33828125;
31,2;-30,76171875;0,43828125;
31,3;-31,640625;0,340625;
31,4;-31,640625;0,240625;
31,5;-31,640625;0,140625;
31,6;-31,640625;0,040625;
31,7;-31,640625;0,059375;
31,8;-31,640625;0,159375;
31,9;-31,640625;0,259375;
32,0;-31,640625;0,359375;
32,1;-31,640625;0,459375;
32,2;-31,640625;0,559375;
32,3;-32,51953125;0,21953125;
32,4;-32,51953125;0,11953125;
32,5;-32,51953125;0,01953125;
32,6;-32,51953125;0,08046875;
32,7;-32,51953125;0,18046875;
32,8;-32,51953125;0,28046875;
32,9;-32,51953125;0,38046875;
33,0;-32,51953125;0,48046875;
33,1;-32,51953125;0,58046875;
33,2;-33,3984375;0,1984375;
33,3;-33,3984375;0,0984375;
33,4;-33,3984375;0,00156250000001;
33,5;-33,3984375;0,1015625;
33,6;-33,3984375;0,2015625;
33,7;-33,3984375;0,3015625;
33,8;-33,3984375;0,4015625;
33,9;-33,3984375;0,5015625;
34,0;-34,27734375;0,27734375;
34,1;-34,27734375;0,17734375;
34,2;-34,27734375;0,07734375;
34,3;-34,27734375;0,02265625;
34,4;-34,27734375;0,12265625;
34,5;-34,27734375;0,22265625;
34,6;-34,27734375;0,32265625;
34,7;-34,27734375;0,42265625;
34,8;-35,15625;0,35625;
34,9;-35,15625;0,25625;
35,0;-35,15625;0,15625;
35,1;-35,15625;0,05625;
35,2;-35,15625;0,04375;
35,3;-35,15625;0,14375;
35,4;-35,15625;0,24375;
35,5;-35,15625;0,34375;
35,6;-35,15625;0,44375;
35,7;-36,03515625;0,33515625;
35,8;-36,03515625;0,23515625;
35,9;-36,03515625;0,13515625;
36,0;-36,03515625;0,03515625;
36,1;-36,03515625;0,06484375;
36,2;-36,03515625;0,16484375;
36,3;-36,03515625;0,26484375;
36,4;-36,03515625;0,36484375;
36,5;-36,03515625;0,46484375;
36,6;-36,9140625;0,3140625;
36,7;-36,9140625;0,2140625;
36,8;-36,9140625;0,1140625;
36,9;-36,9140625;0,0140625;
37,0;-36,9140625;0,0859375;
37,1;-36,9140625;0,1859375;
37,2;-36,9140625;0,2859375;
37,3;-36,9140625;0,3859375;
37,4;-36,9140625;0,4859375;
37,5;-36,9140625;0,5859375;
37,6;-37,79296875;0,19296875;
37,7;-37,79296875;0,09296875;
37,8;-37,79296875;0,00703125;
37,9;-37,79296875;0,10703125;
38,0;-37,79296875;0,20703125;
38,1;-37,79296875;0,30703125;
38,2;-37,79296875;0,40703125;
38,3;-37,79296875;0,50703125;
38,4;-38,671875;0,271875;
38,5;-38,671875;0,171875;
38,6;-38,671875;0,071875;
38,7;-38,671875;0,028125;
38,8;-38,671875;0,128125;
38,9;-38,671875;0,228125;
39,0;-38,671875;0,328125;
39,1;-38,671875;0,428125;
39,2;-38,671875;0,528125;
39,3;-38,671875;0,628125;
39,4;-39,55078125;0,15078125;
39,5;-39,55078125;0,05078125;
39,6;-39,55078125;0,04921875;
39,7;-39,55078125;0,14921875;
39,8;-39,55078125;0,24921875;
39,9;-39,55078125;0,34921875;
40,0;-39,55078125;0,44921875;
40,1;-39,55078125;0,54921875;
40,2;-40,4296875;0,2296875;
40,3;-40,4296875;0,1296875;
40,4;-40,4296875;0,0296875;
40,5;-40,4296875;0,0703125;
40,6;-40,4296875;0,1703125;
40,7;-40,4296875;0,2703125;
40,8;-40,4296875;0,3703125;
40,9;-40,4296875;0,4703125;
41,0;-41,30859375;0,30859375;
41,1;-41,30859375;0,20859375;
41,2;-41,30859375;0,10859375;
41,3;-41,30859375;0,00859375;
41,4;-41,30859375;0,09140625;
41,5;-41,30859375;0,19140625;
41,6;-41,30859375;0,29140625;
41,7;-41,30859375;0,39140625;
41,8;-41,30859375;0,49140625;
41,9;-41,30859375;0,59140625;
42,0;-42,1875;0,1875;
42,1;-42,1875;0,0875;
42,2;-42,1875;0,0125;
42,3;-42,1875;0,1125;
42,4;-42,1875;0,2125;
42,5;-42,1875;0,3125;
42,6;-42,1875;0,4125;
42,7;-42,1875;0,5125;
42,8;-42,1875;0,6125;
42,9;-43,06640625;0,16640625;
43,0;-43,06640625;0,06640625;
43,1;-43,06640625;0,03359375;
43,2;-43,06640625;0,13359375;
43,3;-43,06640625;0,23359375;
43,4;-43,06640625;0,33359375;
43,5;-43,06640625;0,43359375;
43,6;-43,06640625;0,53359375;
43,7;-43,9453125;0,2453125;
43,8;-43,06640625;0,73359375;
43,9;-43,9453125;0,0453125;
44,0;-43,9453125;0,0546875;
44,1;-43,9453125;0,1546875;
44,2;-43,9453125;0,2546875;
44,3;-43,9453125;0,3546875;
44,4;-43,9453125;0,4546875;
44,5;-43,9453125;0,5546875;
44,6;-44,82421875;0,22421875;
44,7;-44,82421875;0,12421875;
44,8;-44,82421875;0,02421875;
44,9;-44,82421875;0,07578125;
45,0;-44,82421875;0,17578125;
45,1;-44,82421875;0,27578125;
45,2;-44,82421875;0,37578125;
45,3;-44,82421875;0,47578125;
